0,1,2,3,4,5,6,7
34.8825,no,yes,no,no,no,no,no
34.8825,yes,yes,yes,yes,no,yes,yes
34.8825,no,no,no,no,no,no,no
34.8825,no,yes,no,no,no,no,no
34.8825,no,yes,no,no,no,no,no
34.8825,no,yes,no,no,no,no,no
37.45,no,yes,yes,yes,yes,yes,no
37.45,no,no,yes,no,no,yes,no
37.45,no,no,yes,no,no,yes,no
37.45,no,no,yes,no,no,yes,no
37.45,no,no,yes,yes,yes,yes,no
37.45,no,yes,no,no,no,no,no
39.55,no,yes,yes,no,yes,no,yes
39.55,no,yes,yes,no,yes,no,yes
39.55,yes,yes,yes,yes,yes,yes,yes
39.55,yes,yes,yes,yes,no,yes,yes
39.55,no,no,no,no,no,no,no
39.55,yes,yes,yes,no,yes,yes,yes
41.2,yes,yes,yes,yes,yes,yes,yes
41.2,no,no,no,no,no,no,no
